	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T1	610	400	840	250	740	110	210	120	840	870	570	420	350	210
T2	620	850	920	140	960	550	630	960	120	130	300	540	310	960
T3	420	740	750	820	980	270	310	910	670	100	580	620	540	920
T4	630	360	550	650	650	200	790	610	310	290	900	920	570	580
T5	190	110	530	230	570	200	390	590	790	640	100	530	400	450
T6	780	410	380	560	850	970	380	680	690	120	920	430	130	920
T7	410	350	320	290	340	460	290	970	620	910	970	580	440	320
T8	690	200	870	940	870	200	960	840	330	250	640	130	890	100
T9	860	190	320	970	180	830	230	440	260	990	470	690	800	830
T10	440	460	570	720	810	590	230	290	840	470	470	980	310	360
T11	220	750	750	540	700	110	650	710	880	530	110	220	180	170
T12	980	800	850	530	340	130	230	100	630	300	640	730	330	320
T13	280	330	450	770	130	920	950	410	710	310	130	950	120	320
T14	630	160	870	570	250	290	810	960	620	500	790	500	520	830
T15	410	410	940	140	980	790	780	790	840	120	840	150	920	630
T16	870	850	120	410	910	860	480	270	540	870	770	200	700	150
T17	410	500	400	630	370	450	760	720	370	460	100	900	300	950
T18	920	130	360	580	360	920	330	360	320	230	970	930	200	820
T19	880	180	850	410	730	500	760	920	700	940	330	530	440	800
T20	660	660	910	620	540	220	740	610	770	470	720	170	870	370
T21	190	410	730	910	970	220	890	660	330	110	180	710	910	520
T22	290	200	640	740	760	170	560	910	950	550	860	500	990	270
T23	480	550	430	690	460	860	900	510	650	630	770	560	870	610
T24	230	730	270	720	450	940	110	460	670	850	300	700	550	390
T25	780	580	680	270	100	260	140	520	300	400	370	420	420	210
T26	260	430	330	170	520	550	940	560	110	560	240	870	910	420
T27	400	630	530	200	400	670	620	150	960	400	580	590	230	210
T28	300	470	190	120	440	990	610	730	610	630	870	360	460	450
T29	450	160	550	340	890	500	640	110	980	430	890	910	660	350
T30	830	620	510	360	250	740	870	640	680	800	250	140	470	150
T31	870	850	650	690	700	610	570	870	110	220	730	960	410	470
T32	350	320	340	790	700	990	900	800	850	300	220	470	470	190
T33	310	600	880	580	520	940	680	570	430	760	310	620	740	280
T34	350	650	520	510	520	190	670	760	480	840	890	900	660	260
T35	340	960	800	820	650	220	950	100	500	370	150	220	100	890
T36	300	490	740	880	610	690	420	360	280	390	350	520	560	220
T37	540	930	910	220	200	530	650	780	460	350	590	740	140	810
T38	330	760	870	400	360	340	390	880	180	150	720	530	170	220
T39	380	910	280	600	550	150	240	170	810	490	650	800	870	720
T40	290	190	950	560	460	400	740	370	540	600	130	650	940	200
T41	240	960	960	250	740	430	760	190	110	670	650	390	180	610
T42	720	500	460	100	630	570	750	340	110	990	620	660	130	130
T43	700	400	570	380	940	720	400	510	580	100	730	470	170	140
T44	400	320	440	110	910	540	430	990	420	790	690	140	240	620
T45	150	380	560	240	180	460	680	580	460	180	840	930	420	810
T46	870	930	240	400	410	300	730	690	950	660	490	400	450	530
T47	240	560	280	480	130	120	440	750	630	910	530	370	530	820
T48	560	490	920	940	750	720	710	610	440	590	270	390	610	960
T49	940	990	590	650	260	410	470	440	870	950	710	430	510	180
T50	870	510	980	820	640	620	730	760	990	980	810	430	190	590
T51	710	650	760	370	950	320	970	950	590	180	590	620	610	490
T52	490	550	620	790	380	150	820	540	670	390	550	560	480	620
T53	460	820	760	500	520	980	350	340	590	110	760	960	630	260
T54	520	450	100	840	790	800	660	400	150	750	740	830	600	900
T55	500	820	560	190	950	150	710	480	200	350	180	320	300	910
T56	770	800	880	740	580	580	980	540	670	590	780	900	640	860
T57	540	510	430	460	840	900	390	470	760	750	150	770	340	350
T58	640	890	240	930	530	800	320	790	750	720	910	390	350	430
T59	720	600	670	270	190	590	470	960	560	420	200	100	530	400
T60	660	970	460	200	950	510	390	280	590	110	920	420	760	130
T61	110	350	150	820	390	120	400	330	170	320	240	950	100	110
T62	710	250	710	680	300	810	630	500	670	440	100	420	600	850
T63	350	620	920	950	780	650	930	220	560	500	970	170	190	660
T64	970	780	540	480	700	500	740	870	290	780	380	780	200	640
T65	120	420	170	800	470	310	620	350	780	690	150	500	260	140
T66	920	400	410	480	240	770	440	490	970	900	130	830	580	210
T67	320	310	260	880	570	130	840	710	440	430	980	440	310	630
T68	260	530	470	420	270	950	480	360	190	160	220	580	890	300
T69	510	490	840	930	910	940	560	690	580	760	580	530	370	850
T70	940	250	850	200	460	460	210	190	120	780	580	780	260	240
T71	220	870	790	290	120	530	360	290	610	510	180	160	300	930
T72	570	190	520	770	330	100	520	810	930	880	370	210	510	360
T73	130	990	190	710	270	100	170	150	270	610	550	550	820	110
T74	110	150	640	980	990	930	320	450	250	960	380	350	750	320
T75	250	620	640	690	240	250	660	540	380	210	680	290	130	900
T76	870	110	680	710	360	990	200	350	850	720	680	520	720	190
T77	850	760	380	970	320	660	720	660	120	690	430	160	250	270
T78	640	540	570	290	820	360	820	990	910	390	960	810	370	680
T79	660	520	820	720	660	560	620	960	710	580	360	820	180	220
