	A1	A2	A3	A4	A5
T1	610	520	400	440	340
T2	190	330	620	460	630
T3	300	680	870	990	450
T4	740	810	120	900	960
T5	990	720	350	810	650
T6	790	430	550	480	720
T7	360	620	270	660	580
T8	510	670	390	870	900
T9	290	560	720	300	660
T10	920	960	640	150	720
T11	670	490	840	290	730
T12	300	840	550	140	950
T13	640	960	890	150	540
T14	670	430	200	740	370
T15	590	190	600	770	750
T16	950	990	780	560	470
T17	210	480	450	110	990
T18	100	190	670	320	310
T19	330	650	430	740	170
T20	120	490	800	180	490
T21	760	830	490	280	440
T22	340	360	690	460	460
T23	660	510	120	330	750
T24	990	930	630	170	510
T25	310	420	730	280	700
T26	830	760	150	630	920
T27	840	390	560	270	220
T28	620	880	420	540	510
T29	570	630	940	500	120
T30	330	570	610	870	610
T31	420	460	650	210	820
T32	980	200	490	240	540
T33	490	690	300	750	400
T34	540	830	610	820	150
T35	590	200	660	790	420
T36	970	600	910	220	950
T37	180	360	360	710	900
T38	120	750	530	510	510
T39	790	100	680	130	580
T40	930	210	840	660	360
T41	300	980	440	100	250
T42	970	220	990	290	150
T43	640	720	630	490	690
T44	740	720	340	680	600
T45	630	820	380	660	530
T46	880	810	820	150	240
T47	710	380	260	210	680
T48	290	390	340	210	850
T49	590	990	130	380	870
T50	920	870	360	290	690
T51	120	560	990	280	820
T52	520	480	330	100	590
T53	700	950	130	340	490
T54	830	960	440	500	800
T55	470	810	400	140	630
T56	570	540	530	100	360
T57	600	960	510	670	280
T58	260	620	560	950	840
T59	160	890	700	760	240
T60	470	850	290	240	920
T61	950	770	230	870	140
T62	270	520	390	200	500
T63	160	840	330	970	540
T64	260	820	940	400	860
T65	360	260	360	710	810
T66	790	520	480	550	270
T67	690	660	370	850	980
T68	270	640	880	280	980
T69	580	100	470	880	580
T70	600	950	570	120	800
T71	940	560	640	690	540
T72	500	880	280	600	630
T73	800	600	650	520	760
T74	270	360	240	620	760
T75	790	310	880	710	910
T76	960	140	460	560	340
T77	750	210	540	680	310
T78	700	890	640	820	410
T79	210	650	440	860	600
T80	370	200	130	190	520
T81	280	410	880	650	820
T82	360	280	500	260	340
T83	650	820	150	710	110
T84	620	620	260	750	830
T85	380	960	980	150	450
T86	950	680	960	680	120
T87	900	770	960	240	590
T88	470	540	740	580	820
T89	230	140	240	190	750
T90	980	780	350	790	690
T91	710	450	690	470	810
T92	650	100	110	790	430
T93	280	330	800	340	380
T94	570	470	280	210	590
T95	630	680	140	670	120
T96	990	390	750	880	540
T97	140	820	310	790	450
T98	840	220	310	780	490
T99	710	900	110	700	940
T100	190	620	660	170	320
T101	310	270	850	890	240
T102	860	610	680	820	530
T103	320	820	880	690	800
