	A1	A2	A3	A4	A5	A6	A7
T1	880	450	960	420	970	200	970
T2	100	930	630	790	610	770	800
T3	340	960	870	510	740	580	690
T4	400	410	470	370	210	560	390
T5	270	410	260	720	590	930	610
T6	520	590	680	650	770	250	460
T7	470	550	270	300	710	380	490
T8	950	510	360	340	640	830	550
T9	630	360	380	140	200	250	560
T10	640	450	770	100	420	310	940
T11	890	740	730	540	680	960	810
T12	150	640	120	220	670	500	770
T13	410	610	590	310	450	560	700
T14	880	540	940	580	480	220	520
T15	390	950	150	100	250	520	110
T16	740	540	490	950	990	630	520
T17	430	820	910	570	180	240	920
T18	270	810	500	820	270	350	740
T19	810	940	310	840	850	140	530
T20	740	830	970	580	800	700	100
T21	570	510	590	640	380	300	530
T22	120	260	450	500	540	920	590
T23	940	470	250	740	970	790	520
T24	490	910	280	830	280	200	550
T25	510	900	150	320	900	370	760
T26	720	770	430	340	670	320	830
T27	610	510	770	980	980	500	670
T28	480	470	710	180	220	510	270
T29	530	760	890	410	380	360	180
T30	970	280	720	290	870	120	600
T31	330	630	380	340	580	490	640
T32	650	500	890	910	320	180	210
T33	880	180	480	290	980	370	160
T34	490	610	300	730	600	910	140
T35	670	840	330	300	850	180	820
T36	780	480	360	550	680	810	930
T37	760	660	290	770	100	730	770
T38	890	190	120	590	190	870	850
T39	270	100	900	810	770	660	670
T40	980	650	880	270	130	660	810
T41	810	860	640	660	470	370	290
T42	970	140	970	700	440	890	410
T43	300	410	210	720	320	630	370
T44	700	130	810	160	760	950	890
T45	470	110	910	470	140	840	290
T46	230	510	250	830	350	130	690
T47	460	410	350	750	230	260	980
T48	650	900	350	570	750	220	930
T49	570	790	450	510	220	350	400
T50	940	610	110	720	330	780	230
T51	370	920	600	510	630	290	700
T52	860	770	630	180	930	340	610
T53	770	250	900	920	860	700	850
T54	650	920	130	620	380	580	120
T55	320	560	140	210	520	610	370
T56	720	950	910	640	880	340	820
T57	100	440	100	180	390	330	420
T58	510	660	830	320	470	930	190
T59	340	520	630	170	640	240	840
T60	270	140	220	270	560	500	680
T61	190	970	680	470	780	300	120
T62	130	720	580	360	580	720	220
T63	370	580	460	130	230	520	970
T64	860	390	900	310	170	480	590
T65	200	620	180	170	430	410	660
T66	470	610	670	650	610	160	660
T67	980	530	300	280	900	730	630
T68	670	600	280	570	850	740	890
T69	180	410	810	760	970	560	690
T70	510	360	170	680	780	490	470
T71	370	360	240	790	560	270	260
T72	920	150	820	790	710	700	710
T73	780	560	230	400	940	970	980
T74	630	610	870	140	780	560	100
T75	930	650	860	490	610	120	880
T76	110	350	470	860	790	870	170
T77	320	110	340	110	670	780	710
T78	360	130	790	360	350	920	200
T79	620	310	330	490	580	430	560
T80	520	220	600	950	630	860	900
T81	180	820	360	170	970	860	160
T82	920	960	250	280	930	460	280
T83	810	720	570	580	140	720	360
T84	150	360	550	650	440	640	850
T85	210	780	540	380	350	950	620
T86	670	840	540	930	150	920	980
T87	540	170	600	530	900	830	970
T88	230	120	830	310	590	140	940
T89	910	680	210	770	720	140	230
T90	100	520	710	520	320	460	650
T91	870	250	590	860	330	150	140
T92	590	730	780	540	200	260	350
T93	850	640	910	920	200	230	980
T94	830	850	690	400	870	460	400
T95	170	990	990	980	400	230	740
T96	760	970	840	940	820	660	850
T97	520	910	590	190	810	590	950
T98	160	910	450	740	330	210	720
T99	930	450	120	820	700	380	590
T100	390	310	530	740	160	460	770
T101	910	950	220	170	610	420	960
T102	420	140	740	510	680	370	700
T103	230	150	390	260	900	190	130
T104	260	290	590	950	970	580	950
T105	590	250	260	880	290	680	480
T106	100	540	990	650	680	600	840
T107	680	530	190	670	310	230	560
T108	360	200	620	310	840	750	990
T109	960	520	260	660	310	840	710
T110	600	690	770	500	470	650	820
T111	140	900	790	530	950	610	910
T112	430	770	350	840	420	990	660
T113	880	600	350	660	450	390	360
T114	850	320	270	970	290	240	380
T115	550	610	620	410	490	810	580
T116	600	500	480	490	930	560	330
T117	220	930	260	620	920	730	840
T118	310	220	590	100	400	780	520
T119	440	430	340	770	550	640	370
T120	700	120	650	300	610	790	630
T121	410	720	400	570	880	720	520
T122	940	550	720	500	420	910	380
T123	900	220	840	440	770	730	980
T124	120	230	740	520	900	930	430
T125	510	930	910	900	350	180	520
T126	820	370	670	330	750	400	270
T127	360	630	540	970	630	660	750
T128	310	210	980	330	990	470	310
T129	900	210	770	270	100	860	830
T130	340	410	240	590	110	150	180
T131	730	620	560	210	590	180	120
T132	480	980	610	310	130	480	450
T133	500	710	490	120	390	680	990
T134	960	870	130	210	620	990	430
T135	870	490	530	100	580	250	680
T136	320	330	140	170	560	570	450
T137	420	950	840	860	560	900	380
T138	490	580	620	880	300	600	870
T139	980	280	550	820	330	100	300
T140	710	270	500	530	790	240	260
T141	700	530	520	410	680	260	680
T142	420	630	410	700	380	610	680
T143	300	420	370	140	680	350	550
T144	970	480	710	940	180	130	640
T145	190	650	250	210	340	550	550
T146	400	540	570	770	300	870	130
T147	360	890	830	630	200	800	680
T148	670	660	540	460	460	780	380
T149	530	160	330	900	540	570	620
T150	720	270	660	200	890	420	650
T151	640	740	210	990	640	710	540
T152	570	510	760	870	540	430	480
T153	600	690	980	740	730	450	910
T154	350	330	790	960	680	790	510
T155	930	720	250	990	330	180	740
T156	840	420	390	800	690	980	130
T157	120	660	160	600	510	320	830
T158	640	780	980	400	870	150	120
T159	430	270	160	970	280	670	830
T160	200	390	460	460	680	560	880
T161	890	390	370	720	270	710	250
T162	620	110	880	970	290	860	210
T163	400	570	310	250	940	550	270
T164	500	220	620	930	290	940	970
T165	230	290	210	360	680	670	740
T166	360	350	970	890	130	680	170
T167	630	230	760	370	360	970	930
T168	730	510	350	270	950	980	950
T169	610	290	750	890	650	550	250
T170	590	270	570	790	250	260	650
T171	300	510	530	190	280	930	450
T172	550	630	150	900	460	110	660
T173	780	870	280	580	980	250	130
T174	250	960	810	590	580	820	380
T175	590	190	390	870	290	130	630
T176	360	550	160	190	770	110	200
T177	570	960	190	180	600	820	520
T178	660	540	320	490	640	820	810
T179	920	670	230	550	980	620	610
T180	920	400	440	410	460	790	630
T181	410	890	160	350	550	810	210
T182	660	220	120	580	230	830	480
T183	630	560	750	870	530	110	760
T184	850	450	410	690	210	180	590
T185	720	580	550	310	140	900	480
T186	320	560	400	950	810	180	990
T187	470	350	110	100	480	150	750
T188	410	800	960	280	260	900	930
T189	580	370	930	120	370	920	750
T190	230	590	130	570	830	500	580
T191	700	580	260	590	410	850	260
T192	130	750	450	920	680	590	170
T193	450	930	380	920	600	940	810
T194	470	230	930	470	860	510	820
T195	370	580	450	560	520	440	550
T196	240	640	810	210	320	750	750
T197	620	470	930	680	450	100	470
T198	970	780	310	660	290	780	540
T199	350	330	980	690	650	720	230
T200	660	680	940	720	290	190	920
T201	200	250	880	280	410	860	930
T202	190	110	610	360	280	500	630
T203	540	890	180	150	120	290	830
T204	860	760	720	630	150	360	230
T205	200	920	850	100	220	610	170
T206	190	270	630	310	370	670	770
T207	180	260	300	110	690	160	660
T208	450	930	510	940	500	240	570
T209	480	490	650	470	910	470	930
T210	640	360	680	510	790	190	390
T211	920	650	630	690	610	290	990
T212	810	980	940	500	640	700	910
T213	700	410	630	600	630	930	760
T214	650	300	810	320	880	440	250
T215	270	150	250	320	130	200	130
T216	720	860	470	860	600	650	380
T217	200	140	730	550	710	980	980
T218	980	340	790	710	570	890	520
T219	670	790	840	480	690	480	360
T220	630	790	150	570	690	620	620
T221	610	630	670	570	980	210	370
T222	280	190	820	240	990	870	360
T223	680	150	810	420	970	620	370
T224	840	170	310	580	430	870	570
T225	830	620	340	830	480	540	810
T226	650	590	190	290	390	380	620
T227	680	870	640	750	880	280	490
T228	840	310	610	260	150	580	490
T229	940	940	550	410	580	150	650
T230	990	430	700	270	250	400	400
T231	420	740	140	240	780	580	480
T232	540	150	580	770	680	520	450
T233	960	170	940	550	990	930	290
T234	910	850	240	700	440	610	960
T235	420	980	540	200	390	480	170
