	A1	A2	A3	A4	A5	A6	A7	A8	A9
T1	820	190	760	320	740	660	330	770	600
T2	160	400	960	460	170	500	290	890	470
T3	870	210	560	750	100	570	420	590	910
T4	660	900	890	590	510	450	610	740	190
T5	730	430	100	930	200	870	640	260	190
T6	740	740	790	480	620	290	830	290	610
T7	150	980	570	550	850	350	840	970	570
T8	360	690	860	300	190	690	490	170	330
T9	210	100	810	780	510	140	450	600	750
T10	350	120	530	520	700	630	360	510	110
T11	810	290	680	750	710	650	810	360	470
T12	940	440	880	910	500	980	640	320	890
T13	790	690	830	350	500	450	130	180	510
T14	540	450	500	980	110	520	930	850	880
T15	870	350	420	950	460	100	270	930	390
T16	780	860	600	700	950	980	350	170	430
T17	610	960	300	860	110	670	750	350	470
T18	130	520	700	800	960	460	740	850	710
T19	400	770	170	390	200	120	930	300	550
T20	290	130	660	320	940	580	290	340	650
T21	450	330	970	330	490	780	340	110	260
T22	170	170	670	710	790	420	740	720	370
T23	250	330	660	380	520	680	400	770	680
T24	240	670	380	480	600	360	390	830	120
T25	800	930	720	300	570	530	540	860	340
T26	980	190	540	640	560	560	770	590	420
T27	980	250	460	600	330	790	180	840	770
T28	720	910	570	450	640	420	850	710	150
T29	760	370	980	130	790	460	290	730	460
T30	540	900	390	220	950	480	270	840	150
T31	860	810	540	720	660	440	160	630	400
T32	390	450	730	170	220	390	400	390	680
T33	100	790	970	640	490	900	250	410	400
T34	110	300	710	230	810	840	930	450	640
T35	980	350	920	210	190	560	690	740	540
T36	850	390	620	870	470	490	500	140	170
T37	180	100	110	550	370	810	530	690	100
T38	580	160	160	530	910	790	430	270	880
T39	150	130	220	610	830	280	660	610	330
T40	550	260	630	480	890	370	780	720	130
T41	990	580	260	770	450	210	120	780	710
T42	960	170	630	660	380	620	800	710	340
T43	390	770	860	500	130	590	370	240	530
T44	480	710	220	300	520	890	940	240	620
T45	560	370	710	110	920	420	550	140	450
T46	640	840	530	830	920	130	780	150	460
T47	640	480	100	380	390	610	230	350	310
T48	150	180	960	270	690	140	650	810	350
T49	850	280	610	200	240	940	770	680	260
T50	280	370	670	270	360	500	290	530	920
T51	820	430	930	980	600	350	870	550	240
T52	280	820	200	660	110	180	980	850	800
T53	290	890	430	880	990	190	250	670	310
T54	380	760	810	470	720	150	970	600	150
T55	130	600	760	810	660	690	230	240	570
T56	250	670	690	380	570	670	110	540	550
T57	160	970	500	770	170	980	610	440	240
T58	490	960	920	660	790	720	310	620	490
T59	720	460	270	660	450	820	920	140	740
T60	570	270	250	120	490	590	760	590	600
T61	880	510	960	800	640	550	720	100	460
T62	100	820	960	120	320	760	390	180	110
T63	120	320	720	820	430	130	690	250	210
T64	500	540	610	460	680	810	870	570	850
T65	270	140	860	790	890	170	640	500	950
T66	600	930	950	650	910	540	200	740	560
T67	750	660	190	370	640	800	600	800	690
T68	300	510	590	210	810	840	760	490	370
T69	480	340	520	590	490	150	940	490	460
T70	570	810	630	220	100	590	330	110	700
T71	790	400	810	730	290	190	200	700	200
T72	990	580	950	520	610	720	560	820	200
T73	120	940	630	130	870	970	720	170	560
T74	460	550	510	780	100	500	640	720	950
T75	550	300	300	180	320	310	860	240	220
T76	890	120	980	590	660	580	610	870	370
T77	430	510	410	150	320	630	870	480	130
T78	110	180	550	660	790	570	640	760	210
T79	370	670	920	100	660	740	980	700	990
T80	230	190	840	770	870	140	420	880	150
T81	180	150	250	760	930	200	760	760	170
T82	740	350	450	160	540	190	470	610	930
T83	290	890	990	770	680	570	100	320	380
T84	820	280	110	920	800	410	750	310	210
T85	370	320	750	110	330	430	920	120	120
T86	290	110	870	590	340	330	830	830	570
T87	970	490	580	840	250	750	860	770	420
T88	430	310	310	540	760	430	860	810	470
T89	900	800	260	400	660	890	700	940	830
T90	670	110	360	120	470	630	440	730	800
T91	870	660	710	540	550	620	860	330	590
