	A1	A2	A3	A4
T1	960	970	140	260
T2	890	280	410	590
T3	650	470	150	990
T4	920	870	360	370
T5	170	550	150	720
T6	630	950	640	880
T7	780	230	110	260
T8	230	640	340	540
T9	910	230	880	840
T10	110	400	280	290
T11	600	240	580	960
T12	290	140	200	740
T13	720	460	820	230
T14	540	840	960	910
T15	920	110	920	710
T16	700	130	550	570
T17	650	660	870	420
T18	910	980	960	130
T19	130	520	250	550
T20	750	660	660	920
T21	660	130	420	700
T22	990	860	620	140
T23	490	300	250	400
T24	170	680	170	130
