	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	370	290	690	140	530	560	630	140	830	820
T2	220	390	350	420	670	740	620	890	960	610
T3	330	860	940	450	910	460	820	260	690	450
T4	880	200	330	720	680	210	110	840	700	870
T5	820	490	990	800	730	920	960	290	100	570
T6	740	860	810	380	480	120	240	680	570	620
T7	670	960	830	620	720	650	990	430	600	710
T8	670	640	960	140	110	960	980	830	210	890
T9	390	700	350	550	230	560	580	340	990	680
T10	730	540	110	800	630	680	130	650	970	880
T11	300	340	830	730	740	980	160	800	340	430
T12	460	720	390	550	320	170	710	650	280	230
T13	640	180	130	450	320	210	210	360	700	890
T14	910	650	520	130	900	670	400	130	120	870
T15	980	660	230	250	510	470	840	660	720	710
T16	450	970	840	610	840	930	270	540	480	870
T17	990	270	310	160	110	870	100	110	350	780
T18	240	520	460	600	690	250	440	760	840	920
T19	470	660	950	470	300	640	140	330	370	640
T20	700	480	410	820	260	820	640	230	120	150
T21	800	620	440	880	370	360	310	640	260	340
T22	190	520	730	730	470	650	330	350	340	540
T23	990	190	480	610	660	350	990	280	340	660
T24	750	350	250	930	710	440	590	750	510	330
T25	800	890	360	730	730	690	810	360	840	110
T26	150	420	900	180	600	630	880	240	810	520
T27	550	890	250	690	220	330	260	960	900	570
T28	780	540	700	180	400	520	710	500	600	520
T29	440	200	270	570	220	320	390	120	330	310
T30	920	840	720	230	390	320	580	230	480	210
T31	790	820	850	950	790	530	130	560	240	840
T32	440	680	840	880	630	170	910	760	300	790
T33	500	920	430	250	970	150	350	720	430	610
T34	990	410	860	740	840	880	460	320	750	400
T35	620	870	130	820	510	820	630	570	270	670
T36	540	670	730	210	320	390	440	860	210	910
T37	810	650	460	300	640	830	810	990	640	550
T38	150	920	340	800	900	960	510	110	960	480
T39	700	430	600	300	660	780	570	870	300	870
T40	950	820	660	170	920	410	270	690	990	810
T41	810	250	390	710	370	570	730	940	990	370
T42	360	740	630	920	440	910	200	880	950	430
T43	230	160	370	760	220	370	840	410	180	470
T44	640	470	120	870	920	970	270	170	810	290
T45	440	100	260	750	240	410	190	310	140	840
T46	410	260	500	410	980	930	180	320	930	960
T47	530	550	320	570	580	840	100	830	570	850
T48	780	720	510	470	740	110	500	410	230	770
T49	260	920	520	450	970	560	470	460	850	230
T50	390	510	840	730	450	520	760	130	100	380
T51	220	630	810	990	390	940	620	920	840	180
T52	420	900	630	940	240	420	400	720	930	270
T53	120	490	270	380	190	950	620	220	700	390
T54	530	930	690	870	440	660	130	770	450	310
T55	800	420	530	300	100	370	580	910	880	550
T56	850	550	690	250	130	310	180	510	470	770
T57	560	820	900	340	390	280	450	170	140	870
T58	110	330	110	860	700	760	210	590	930	710
T59	910	470	150	350	200	840	300	180	330	650
T60	920	330	870	540	130	460	510	520	470	540
T61	130	200	740	810	360	520	760	830	880	340
T62	410	990	760	900	210	170	860	260	750	170
T63	120	750	880	650	490	900	530	690	580	410
T64	100	150	500	300	710	880	240	580	880	900
