	A1	A2	A3	A4	A5	A6
T1	320	970	270	150	120	340
T2	450	910	680	710	860	470
T3	380	160	880	950	500	770
T4	110	560	420	880	200	150
T5	650	360	180	630	450	600
T6	410	170	970	750	790	220
T7	310	690	830	550	600	970
T8	340	280	390	780	960	770
T9	920	590	600	240	850	410
T10	510	950	360	430	170	240
T11	790	820	310	510	520	280
T12	430	500	680	150	580	140
T13	940	680	370	780	370	560
T14	440	630	390	840	500	750
T15	510	480	680	970	900	280
T16	520	850	820	450	240	770
T17	760	480	250	510	760	490
T18	820	270	860	870	280	190
T19	260	360	610	460	920	940
T20	330	800	920	950	440	690
T21	910	210	710	320	190	260
T22	660	190	930	790	560	460
T23	330	120	470	560	900	770
T24	260	990	820	730	660	160
T25	350	580	970	670	920	930
T26	250	940	780	700	300	830
T27	660	110	340	470	390	240
T28	950	840	380	360	870	160
T29	630	110	580	940	720	850
T30	310	170	850	910	920	640
T31	730	980	800	190	370	670
T32	360	490	570	170	600	340
T33	390	140	400	780	540	200
T34	300	580	150	500	120	340
T35	600	690	870	770	230	980
T36	340	720	430	750	860	470
T37	730	560	870	970	990	440
T38	790	390	960	570	240	710
T39	930	760	400	240	340	780
T40	710	670	440	180	840	280
T41	220	520	140	250	720	310
T42	110	420	700	710	430	780
T43	470	520	620	850	700	680
T44	510	890	140	270	230	830
T45	980	920	260	800	700	570
T46	240	730	170	350	100	510
T47	120	470	210	750	320	850
T48	610	790	600	760	810	510
T49	550	130	380	570	290	470
T50	290	470	730	540	620	190
T51	800	370	390	170	470	860
T52	620	450	550	650	550	290
T53	770	450	580	760	750	700
T54	420	370	980	680	140	540
T55	870	270	730	880	520	120
T56	830	930	930	500	170	100
T57	540	370	330	790	510	330
T58	900	430	950	540	170	710
T59	660	850	520	860	940	480
T60	800	220	790	250	850	900
T61	400	310	850	870	180	890
T62	180	430	350	460	580	400
T63	530	940	610	950	600	320
T64	700	460	770	610	220	150
T65	150	100	990	440	690	350
T66	810	960	400	540	180	370
T67	110	260	370	760	450	640
T68	840	510	560	990	570	650
T69	280	350	910	740	510	580
T70	740	430	760	660	110	970
T71	830	760	720	350	410	780
T72	290	520	220	230	980	200
T73	270	570	710	210	540	400
T74	990	470	170	380	340	690
T75	110	620	570	230	730	670
T76	390	150	680	900	950	230
T77	450	460	570	980	590	300
T78	130	630	430	730	520	820
T79	730	790	350	210	430	510
T80	180	880	920	340	530	520
T81	110	900	550	930	890	960
T82	390	700	730	600	550	230
T83	200	860	970	470	660	260
T84	110	600	350	260	840	610
T85	220	430	650	280	570	590
T86	160	640	380	280	870	180
T87	950	550	400	350	600	870
T88	610	280	610	340	100	940
T89	870	510	450	640	980	830
T90	240	190	830	460	370	320
T91	810	540	360	610	590	210
T92	490	420	330	420	260	870
T93	160	180	190	760	750	540
T94	590	210	250	520	680	880
T95	700	200	790	640	380	650
T96	710	270	500	470	260	760
